mean_loss,mean_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
-0.00014126301,0.5,0.8484714031219482,False,,,1,0.00014126301,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-42,1623179862,0.8484714031219482,181814,timo-ThinkPad-P1,192.168.0.13,0.8484714031219482,0,1,dce25_00152
-0.032852113,0.5,0.07715630531311035,False,,,2,0.032852113,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-42,1623179862,0.9256277084350586,181814,timo-ThinkPad-P1,192.168.0.13,0.9256277084350586,0,2,dce25_00152
-0.07108569,0.5,0.07804560661315918,False,,,3,0.07108569,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-42,1623179862,1.0036733150482178,181814,timo-ThinkPad-P1,192.168.0.13,1.0036733150482178,0,3,dce25_00152
-0.09973711,0.5,0.13970470428466797,False,,,4,0.09973711,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-42,1623179862,1.1433780193328857,181814,timo-ThinkPad-P1,192.168.0.13,1.1433780193328857,0,4,dce25_00152
-0.12662208,0.5,0.08251643180847168,False,,,5,0.12662208,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-42,1623179862,1.2258944511413574,181814,timo-ThinkPad-P1,192.168.0.13,1.2258944511413574,0,5,dce25_00152
-0.15427685,0.5,0.07175922393798828,False,,,6,0.15427685,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-42,1623179862,1.2976536750793457,181814,timo-ThinkPad-P1,192.168.0.13,1.2976536750793457,0,6,dce25_00152
-0.19647276,0.5,0.11361002922058105,False,,,7,0.19647276,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-42,1623179862,1.4112637042999268,181814,timo-ThinkPad-P1,192.168.0.13,1.4112637042999268,0,7,dce25_00152
-0.25107777,0.5,0.09649872779846191,False,,,8,0.25107777,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-42,1623179862,1.5077624320983887,181814,timo-ThinkPad-P1,192.168.0.13,1.5077624320983887,0,8,dce25_00152
-0.28999472,0.5,0.08716535568237305,False,,,9,0.28999472,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-42,1623179862,1.5949277877807617,181814,timo-ThinkPad-P1,192.168.0.13,1.5949277877807617,0,9,dce25_00152
-0.3900578,0.5,0.07149052619934082,False,,,10,0.3900578,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-42,1623179862,1.6664183139801025,181814,timo-ThinkPad-P1,192.168.0.13,1.6664183139801025,0,10,dce25_00152
-0.419904,0.5,0.06258273124694824,False,,,11,0.419904,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-42,1623179862,1.7290010452270508,181814,timo-ThinkPad-P1,192.168.0.13,1.7290010452270508,0,11,dce25_00152
-0.48980355,0.5,0.06261348724365234,False,,,12,0.48980355,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-43,1623179863,1.7916145324707031,181814,timo-ThinkPad-P1,192.168.0.13,1.7916145324707031,0,12,dce25_00152
-0.6069248,0.5,0.041970252990722656,False,,,13,0.6069248,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-43,1623179863,1.8335847854614258,181814,timo-ThinkPad-P1,192.168.0.13,1.8335847854614258,0,13,dce25_00152
-0.7162411,0.5,0.05604076385498047,False,,,14,0.7162411,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-43,1623179863,1.8896255493164062,181814,timo-ThinkPad-P1,192.168.0.13,1.8896255493164062,0,14,dce25_00152
-0.7607713,0.5,0.05867338180541992,False,,,15,0.7607713,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-43,1623179863,1.9482989311218262,181814,timo-ThinkPad-P1,192.168.0.13,1.9482989311218262,0,15,dce25_00152
-0.93519616,0.5,0.06845355033874512,False,,,16,0.93519616,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-43,1623179863,2.0167524814605713,181814,timo-ThinkPad-P1,192.168.0.13,2.0167524814605713,0,16,dce25_00152
-1.0337249,0.5,0.06855130195617676,False,,,17,1.0337249,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-43,1623179863,2.085303783416748,181814,timo-ThinkPad-P1,192.168.0.13,2.085303783416748,0,17,dce25_00152
-1.2908796,0.5,0.2083590030670166,False,,,18,1.2908796,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-43,1623179863,2.2936627864837646,181814,timo-ThinkPad-P1,192.168.0.13,2.2936627864837646,0,18,dce25_00152
-1.6425431,0.5,0.05535721778869629,False,,,19,1.6425431,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-43,1623179863,2.349020004272461,181814,timo-ThinkPad-P1,192.168.0.13,2.349020004272461,0,19,dce25_00152
-2.328124,0.5,0.05346345901489258,False,,,20,2.328124,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-43,1623179863,2.4024834632873535,181814,timo-ThinkPad-P1,192.168.0.13,2.4024834632873535,0,20,dce25_00152
-3.8574135,0.5,0.046915292739868164,False,,,21,3.8574135,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-43,1623179863,2.4493987560272217,181814,timo-ThinkPad-P1,192.168.0.13,2.4493987560272217,0,21,dce25_00152
-7.547226,0.75,0.04535841941833496,False,,,22,7.547226,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-43,1623179863,2.4947571754455566,181814,timo-ThinkPad-P1,192.168.0.13,2.4947571754455566,0,22,dce25_00152
-11.106731,0.75,0.0633845329284668,False,,,23,11.106731,3f0e3b42ee47419981ea9ecebf2b2638,2021-06-08_20-17-43,1623179863,2.5581417083740234,181814,timo-ThinkPad-P1,192.168.0.13,2.5581417083740234,0,23,dce25_00152
