mean_loss,mean_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
-1.1920929e-07,0.5,0.7376265525817871,False,,,1,1.1920929e-07,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-06,1623179886,0.7376265525817871,182926,timo-ThinkPad-P1,192.168.0.13,0.7376265525817871,0,1,dce25_00175
-0.06457704,0.5,0.060700416564941406,False,,,2,0.06457704,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-06,1623179886,0.7983269691467285,182926,timo-ThinkPad-P1,192.168.0.13,0.7983269691467285,0,2,dce25_00175
-0.08673751,0.5,0.060196638107299805,False,,,3,0.08673751,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-06,1623179886,0.8585236072540283,182926,timo-ThinkPad-P1,192.168.0.13,0.8585236072540283,0,3,dce25_00175
-0.10545087,0.5,0.06557083129882812,False,,,4,0.10545087,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-06,1623179886,0.9240944385528564,182926,timo-ThinkPad-P1,192.168.0.13,0.9240944385528564,0,4,dce25_00175
-0.17641401,0.5,0.06682729721069336,False,,,5,0.17641401,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-06,1623179886,0.9909217357635498,182926,timo-ThinkPad-P1,192.168.0.13,0.9909217357635498,0,5,dce25_00175
-0.19893086,0.5,0.07879757881164551,False,,,6,0.19893086,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-06,1623179886,1.0697193145751953,182926,timo-ThinkPad-P1,192.168.0.13,1.0697193145751953,0,6,dce25_00175
-0.25390828,0.5,0.11459136009216309,False,,,7,0.25390828,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-06,1623179886,1.1843106746673584,182926,timo-ThinkPad-P1,192.168.0.13,1.1843106746673584,0,7,dce25_00175
-0.37074864,0.5,0.058962106704711914,False,,,8,0.37074864,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-06,1623179886,1.2432727813720703,182926,timo-ThinkPad-P1,192.168.0.13,1.2432727813720703,0,8,dce25_00175
-0.5008397,0.5,0.06393861770629883,False,,,9,0.5008397,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-07,1623179887,1.3072113990783691,182926,timo-ThinkPad-P1,192.168.0.13,1.3072113990783691,0,9,dce25_00175
-0.66438615,0.5,0.05820322036743164,False,,,10,0.66438615,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-07,1623179887,1.3654146194458008,182926,timo-ThinkPad-P1,192.168.0.13,1.3654146194458008,0,10,dce25_00175
-0.8084798,0.5,0.06251239776611328,False,,,11,0.8084798,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-07,1623179887,1.427927017211914,182926,timo-ThinkPad-P1,192.168.0.13,1.427927017211914,0,11,dce25_00175
-0.8385209,0.5,0.05965614318847656,False,,,12,0.8385209,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-07,1623179887,1.4875831604003906,182926,timo-ThinkPad-P1,192.168.0.13,1.4875831604003906,0,12,dce25_00175
-1.0838687,0.5,0.04128456115722656,False,,,13,1.0838687,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-07,1623179887,1.5288677215576172,182926,timo-ThinkPad-P1,192.168.0.13,1.5288677215576172,0,13,dce25_00175
-1.5924121,0.5,0.044518232345581055,False,,,14,1.5924121,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-07,1623179887,1.5733859539031982,182926,timo-ThinkPad-P1,192.168.0.13,1.5733859539031982,0,14,dce25_00175
-1.9373307,0.5,0.04870200157165527,False,,,15,1.9373307,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-07,1623179887,1.6220879554748535,182926,timo-ThinkPad-P1,192.168.0.13,1.6220879554748535,0,15,dce25_00175
-2.8695621,0.5,0.056867122650146484,False,,,16,2.8695621,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-07,1623179887,1.678955078125,182926,timo-ThinkPad-P1,192.168.0.13,1.678955078125,0,16,dce25_00175
-4.333277,0.5,0.058177947998046875,False,,,17,4.333277,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-07,1623179887,1.7371330261230469,182926,timo-ThinkPad-P1,192.168.0.13,1.7371330261230469,0,17,dce25_00175
-8.848287,0.75,0.05930662155151367,False,,,18,8.848287,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-07,1623179887,1.7964396476745605,182926,timo-ThinkPad-P1,192.168.0.13,1.7964396476745605,0,18,dce25_00175
-12.462769,0.75,0.06104540824890137,False,,,19,12.462769,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-07,1623179887,1.857485055923462,182926,timo-ThinkPad-P1,192.168.0.13,1.857485055923462,0,19,dce25_00175
-13.7254305,0.75,0.05716753005981445,False,,,20,13.7254305,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-07,1623179887,1.9146525859832764,182926,timo-ThinkPad-P1,192.168.0.13,1.9146525859832764,0,20,dce25_00175
-14.217612,0.75,0.06038355827331543,False,,,21,14.217612,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-07,1623179887,1.9750361442565918,182926,timo-ThinkPad-P1,192.168.0.13,1.9750361442565918,0,21,dce25_00175
-14.458687,0.75,0.059487342834472656,False,,,22,14.458687,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-07,1623179887,2.0345234870910645,182926,timo-ThinkPad-P1,192.168.0.13,2.0345234870910645,0,22,dce25_00175
-14.592414,0.75,0.058411359786987305,False,,,23,14.592414,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-07,1623179887,2.0929348468780518,182926,timo-ThinkPad-P1,192.168.0.13,2.0929348468780518,0,23,dce25_00175
-14.678236,0.75,0.061171770095825195,False,,,24,14.678236,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-07,1623179887,2.154106616973877,182926,timo-ThinkPad-P1,192.168.0.13,2.154106616973877,0,24,dce25_00175
-14.736654,0.75,0.19503068923950195,False,,,25,14.736654,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-08,1623179888,2.349137306213379,182926,timo-ThinkPad-P1,192.168.0.13,2.349137306213379,0,25,dce25_00175
-14.778698,0.75,0.06165885925292969,False,,,26,14.778698,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-08,1623179888,2.4107961654663086,182926,timo-ThinkPad-P1,192.168.0.13,2.4107961654663086,0,26,dce25_00175
-14.809543,0.75,0.042673587799072266,False,,,27,14.809543,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-08,1623179888,2.453469753265381,182926,timo-ThinkPad-P1,192.168.0.13,2.453469753265381,0,27,dce25_00175
-14.833445,0.75,0.04545140266418457,False,,,28,14.833445,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-08,1623179888,2.4989211559295654,182926,timo-ThinkPad-P1,192.168.0.13,2.4989211559295654,0,28,dce25_00175
-14.852502,0.75,0.05599713325500488,False,,,29,14.852502,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-08,1623179888,2.5549182891845703,182926,timo-ThinkPad-P1,192.168.0.13,2.5549182891845703,0,29,dce25_00175
-14.867928,0.75,0.058379173278808594,False,,,30,14.867928,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-08,1623179888,2.613297462463379,182926,timo-ThinkPad-P1,192.168.0.13,2.613297462463379,0,30,dce25_00175
-14.881018,0.75,0.05888247489929199,False,,,31,14.881018,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-08,1623179888,2.672179937362671,182926,timo-ThinkPad-P1,192.168.0.13,2.672179937362671,0,31,dce25_00175
-14.891585,0.75,0.061240196228027344,False,,,32,14.891585,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-08,1623179888,2.7334201335906982,182926,timo-ThinkPad-P1,192.168.0.13,2.7334201335906982,0,32,dce25_00175
-14.9007635,0.75,0.059567928314208984,False,,,33,14.9007635,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-08,1623179888,2.7929880619049072,182926,timo-ThinkPad-P1,192.168.0.13,2.7929880619049072,0,33,dce25_00175
-14.908364,0.75,0.05563187599182129,False,,,34,14.908364,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-08,1623179888,2.8486199378967285,182926,timo-ThinkPad-P1,192.168.0.13,2.8486199378967285,0,34,dce25_00175
-14.915493,0.75,0.0891273021697998,False,,,35,14.915493,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-08,1623179888,2.9377472400665283,182926,timo-ThinkPad-P1,192.168.0.13,2.9377472400665283,0,35,dce25_00175
-14.921302,0.75,0.04974937438964844,False,,,36,14.921302,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-08,1623179888,2.9874966144561768,182926,timo-ThinkPad-P1,192.168.0.13,2.9874966144561768,0,36,dce25_00175
-14.926473,0.75,0.05225563049316406,False,,,37,14.926473,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-08,1623179888,3.039752244949341,182926,timo-ThinkPad-P1,192.168.0.13,3.039752244949341,0,37,dce25_00175
-14.931023,0.75,0.05798172950744629,False,,,38,14.931023,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-08,1623179888,3.097733974456787,182926,timo-ThinkPad-P1,192.168.0.13,3.097733974456787,0,38,dce25_00175
-14.935103,0.75,0.05953502655029297,False,,,39,14.935103,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-08,1623179888,3.15726900100708,182926,timo-ThinkPad-P1,192.168.0.13,3.15726900100708,0,39,dce25_00175
-14.938777,0.75,0.05893230438232422,False,,,40,14.938777,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-08,1623179888,3.2162013053894043,182926,timo-ThinkPad-P1,192.168.0.13,3.2162013053894043,0,40,dce25_00175
-14.942218,0.75,0.061158180236816406,False,,,41,14.942218,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-09,1623179889,3.2773594856262207,182926,timo-ThinkPad-P1,192.168.0.13,3.2773594856262207,0,41,dce25_00175
-14.945546,0.75,0.05985760688781738,False,,,42,14.945546,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-09,1623179889,3.337217092514038,182926,timo-ThinkPad-P1,192.168.0.13,3.337217092514038,0,42,dce25_00175
-14.9485,0.75,0.17334628105163574,False,,,43,14.9485,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-09,1623179889,3.510563373565674,182926,timo-ThinkPad-P1,192.168.0.13,3.510563373565674,0,43,dce25_00175
-14.950965,0.75,0.0828709602355957,False,,,44,14.950965,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-09,1623179889,3.5934343338012695,182926,timo-ThinkPad-P1,192.168.0.13,3.5934343338012695,0,44,dce25_00175
-14.953244,0.75,0.07476353645324707,False,,,45,14.953244,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-09,1623179889,3.6681978702545166,182926,timo-ThinkPad-P1,192.168.0.13,3.6681978702545166,0,45,dce25_00175
-14.955345,0.75,0.06435823440551758,False,,,46,14.955345,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-09,1623179889,3.732556104660034,182926,timo-ThinkPad-P1,192.168.0.13,3.732556104660034,0,46,dce25_00175
-14.957279,0.75,0.06412076950073242,False,,,47,14.957279,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-09,1623179889,3.7966768741607666,182926,timo-ThinkPad-P1,192.168.0.13,3.7966768741607666,0,47,dce25_00175
-14.9590645,0.75,0.061887264251708984,False,,,48,14.9590645,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-09,1623179889,3.8585641384124756,182926,timo-ThinkPad-P1,192.168.0.13,3.8585641384124756,0,48,dce25_00175
-14.960706,0.75,0.06161999702453613,False,,,49,14.960706,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-09,1623179889,3.9201841354370117,182926,timo-ThinkPad-P1,192.168.0.13,3.9201841354370117,0,49,dce25_00175
-14.962232,0.75,0.060924530029296875,False,,,50,14.962232,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-09,1623179889,3.9811086654663086,182926,timo-ThinkPad-P1,192.168.0.13,3.9811086654663086,0,50,dce25_00175
-14.963658,0.75,0.05945920944213867,False,,,51,14.963658,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-09,1623179889,4.040567874908447,182926,timo-ThinkPad-P1,192.168.0.13,4.040567874908447,0,51,dce25_00175
-15.055183,0.75,0.05843019485473633,False,,,52,15.055183,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-09,1623179889,4.098998069763184,182926,timo-ThinkPad-P1,192.168.0.13,4.098998069763184,0,52,dce25_00175
-15.182363,0.75,0.06157088279724121,False,,,53,15.182363,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-09,1623179889,4.160568952560425,182926,timo-ThinkPad-P1,192.168.0.13,4.160568952560425,0,53,dce25_00175
-15.664582,0.75,0.06171011924743652,False,,,54,15.664582,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-09,1623179889,4.222279071807861,182926,timo-ThinkPad-P1,192.168.0.13,4.222279071807861,0,54,dce25_00175
-18.999638,0.75,0.06480860710144043,False,,,55,18.999638,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-10,1623179890,4.287087678909302,182926,timo-ThinkPad-P1,192.168.0.13,4.287087678909302,0,55,dce25_00175
-25.362667,0.95,0.06113743782043457,False,,,56,25.362667,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-10,1623179890,4.348225116729736,182926,timo-ThinkPad-P1,192.168.0.13,4.348225116729736,0,56,dce25_00175
-25.774075,0.95,0.06050562858581543,False,,,57,25.774075,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-10,1623179890,4.408730745315552,182926,timo-ThinkPad-P1,192.168.0.13,4.408730745315552,0,57,dce25_00175
-25.078781,0.9,0.06157374382019043,False,,,58,25.078781,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-10,1623179890,4.470304489135742,182926,timo-ThinkPad-P1,192.168.0.13,4.470304489135742,0,58,dce25_00175
-24.637182,0.9,0.14360761642456055,False,,,59,24.637182,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-10,1623179890,4.613912105560303,182926,timo-ThinkPad-P1,192.168.0.13,4.613912105560303,0,59,dce25_00175
-24.07371,0.9,0.10626626014709473,False,,,60,24.07371,bb4f0c6018fa4aa5a9227167efe25c1a,2021-06-08_20-18-10,1623179890,4.7201783657073975,182926,timo-ThinkPad-P1,192.168.0.13,4.7201783657073975,0,60,dce25_00175
