mean_loss,mean_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
2.6226044e-06,0.5,0.8755307197570801,False,,,1,-2.6226044e-06,1d631a3a49574ec0a5c61bfef0d230f1,2021-06-08_20-15-42,1623179742,0.8755307197570801,176623,timo-ThinkPad-P1,192.168.0.13,0.8755307197570801,0,1,dce25_00028
-0.003188014,0.5,0.0624234676361084,False,,,2,0.003188014,1d631a3a49574ec0a5c61bfef0d230f1,2021-06-08_20-15-43,1623179743,0.9379541873931885,176623,timo-ThinkPad-P1,192.168.0.13,0.9379541873931885,0,2,dce25_00028
-0.031461477,0.5,0.0637214183807373,False,,,3,0.031461477,1d631a3a49574ec0a5c61bfef0d230f1,2021-06-08_20-15-43,1623179743,1.0016756057739258,176623,timo-ThinkPad-P1,192.168.0.13,1.0016756057739258,0,3,dce25_00028
-0.07556605,0.5,0.1590709686279297,False,,,4,0.07556605,1d631a3a49574ec0a5c61bfef0d230f1,2021-06-08_20-15-43,1623179743,1.1607465744018555,176623,timo-ThinkPad-P1,192.168.0.13,1.1607465744018555,0,4,dce25_00028
-0.10094619,0.5,0.05966520309448242,False,,,5,0.10094619,1d631a3a49574ec0a5c61bfef0d230f1,2021-06-08_20-15-43,1623179743,1.220411777496338,176623,timo-ThinkPad-P1,192.168.0.13,1.220411777496338,0,5,dce25_00028
-0.13600528,0.5,0.05862784385681152,False,,,6,0.13600528,1d631a3a49574ec0a5c61bfef0d230f1,2021-06-08_20-15-43,1623179743,1.2790396213531494,176623,timo-ThinkPad-P1,192.168.0.13,1.2790396213531494,0,6,dce25_00028
-0.14883292,0.5,0.058150291442871094,False,,,7,0.14883292,1d631a3a49574ec0a5c61bfef0d230f1,2021-06-08_20-15-43,1623179743,1.3371899127960205,176623,timo-ThinkPad-P1,192.168.0.13,1.3371899127960205,0,7,dce25_00028
-0.18306386,0.5,0.05939531326293945,False,,,8,0.18306386,1d631a3a49574ec0a5c61bfef0d230f1,2021-06-08_20-15-43,1623179743,1.39658522605896,176623,timo-ThinkPad-P1,192.168.0.13,1.39658522605896,0,8,dce25_00028
-0.22525585,0.5,0.05833578109741211,False,,,9,0.22525585,1d631a3a49574ec0a5c61bfef0d230f1,2021-06-08_20-15-43,1623179743,1.454921007156372,176623,timo-ThinkPad-P1,192.168.0.13,1.454921007156372,0,9,dce25_00028
-0.23383904,0.5,0.06271910667419434,False,,,10,0.23383904,1d631a3a49574ec0a5c61bfef0d230f1,2021-06-08_20-15-43,1623179743,1.5176401138305664,176623,timo-ThinkPad-P1,192.168.0.13,1.5176401138305664,0,10,dce25_00028
