mean_loss,mean_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
1.1920929e-07,0.5,0.16838312149047852,False,,,24,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-48,1623178908,3.5309107303619385,164835,timo-ThinkPad-P1,192.168.0.13,3.5309107303619385,0,24,942ba_00143
1.1920929e-07,0.5,0.09105372428894043,False,,,25,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-49,1623178909,3.621964454650879,164835,timo-ThinkPad-P1,192.168.0.13,3.621964454650879,0,25,942ba_00143
0.0,0.7,0.08913969993591309,False,,,26,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-49,1623178909,3.711104154586792,164835,timo-ThinkPad-P1,192.168.0.13,3.711104154586792,0,26,942ba_00143
0.0,0.5,0.10397815704345703,False,,,27,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-49,1623178909,3.815082311630249,164835,timo-ThinkPad-P1,192.168.0.13,3.815082311630249,0,27,942ba_00143
-3.5762787e-07,0.5,0.10797643661499023,False,,,28,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-49,1623178909,3.9230587482452393,164835,timo-ThinkPad-P1,192.168.0.13,3.9230587482452393,0,28,942ba_00143
1.1920929e-07,0.5,0.0915076732635498,False,,,29,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-49,1623178909,4.014566421508789,164835,timo-ThinkPad-P1,192.168.0.13,4.014566421508789,0,29,942ba_00143
-9.536743e-07,0.5,0.08771324157714844,False,,,30,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-49,1623178909,4.1022796630859375,164835,timo-ThinkPad-P1,192.168.0.13,4.1022796630859375,0,30,942ba_00143
-9.536743e-07,0.5,0.15433573722839355,False,,,31,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-49,1623178909,4.256615400314331,164835,timo-ThinkPad-P1,192.168.0.13,4.256615400314331,0,31,942ba_00143
-3.5762787e-07,0.5,0.09937357902526855,False,,,32,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-49,1623178909,4.3559889793396,164835,timo-ThinkPad-P1,192.168.0.13,4.3559889793396,0,32,942ba_00143
0.0,0.5,0.10628008842468262,False,,,33,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-49,1623178909,4.462269067764282,164835,timo-ThinkPad-P1,192.168.0.13,4.462269067764282,0,33,942ba_00143
-1.9073486e-06,0.5,0.2173607349395752,False,,,34,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-50,1623178910,4.679629802703857,164835,timo-ThinkPad-P1,192.168.0.13,4.679629802703857,0,34,942ba_00143
-9.536743e-07,0.5,0.09199404716491699,False,,,35,6425612323d647568a30772ebd38ef4b,2021-06-08_20-01-50,1623178910,4.771623849868774,164835,timo-ThinkPad-P1,192.168.0.13,4.771623849868774,0,35,942ba_00143
