mean_loss,mean_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
-2.3841858e-07,0.5,1.4529192447662354,False,,,1,2.3841858e-07,1b330e3c903c406ea4e36c7484cf72c8,2021-06-08_20-03-03,1623178983,1.4529192447662354,167512,timo-ThinkPad-P1,192.168.0.13,1.4529192447662354,0,1,942ba_00195
-8.34465e-07,0.5,0.3394641876220703,False,,,2,8.34465e-07,1b330e3c903c406ea4e36c7484cf72c8,2021-06-08_20-03-03,1623178983,1.7923834323883057,167512,timo-ThinkPad-P1,192.168.0.13,1.7923834323883057,0,2,942ba_00195
-3.5762787e-05,0.5,0.1876673698425293,False,,,3,3.5762787e-05,1b330e3c903c406ea4e36c7484cf72c8,2021-06-08_20-03-03,1623178983,1.980050802230835,167512,timo-ThinkPad-P1,192.168.0.13,1.980050802230835,0,3,942ba_00195
-0.0017411709,0.5,0.27269887924194336,False,,,4,0.0017411709,1b330e3c903c406ea4e36c7484cf72c8,2021-06-08_20-03-03,1623178983,2.2527496814727783,167512,timo-ThinkPad-P1,192.168.0.13,2.2527496814727783,0,4,942ba_00195
-0.07595539,0.5,0.33040523529052734,False,,,5,0.07595539,1b330e3c903c406ea4e36c7484cf72c8,2021-06-08_20-03-04,1623178984,2.5831549167633057,167512,timo-ThinkPad-P1,192.168.0.13,2.5831549167633057,0,5,942ba_00195
-2.980774,0.75,0.31813836097717285,False,,,6,2.980774,1b330e3c903c406ea4e36c7484cf72c8,2021-06-08_20-03-04,1623178984,2.9012932777404785,167512,timo-ThinkPad-P1,192.168.0.13,2.9012932777404785,0,6,942ba_00195
-13.68161,0.75,0.2964181900024414,False,,,7,13.68161,1b330e3c903c406ea4e36c7484cf72c8,2021-06-08_20-03-04,1623178984,3.19771146774292,167512,timo-ThinkPad-P1,192.168.0.13,3.19771146774292,0,7,942ba_00195
-14.597133,0.75,0.21863365173339844,False,,,8,14.597133,1b330e3c903c406ea4e36c7484cf72c8,2021-06-08_20-03-05,1623178985,3.4163451194763184,167512,timo-ThinkPad-P1,192.168.0.13,3.4163451194763184,0,8,942ba_00195
-14.776751,0.75,0.19019484519958496,False,,,9,14.776751,1b330e3c903c406ea4e36c7484cf72c8,2021-06-08_20-03-05,1623178985,3.6065399646759033,167512,timo-ThinkPad-P1,192.168.0.13,3.6065399646759033,0,9,942ba_00195
-14.834832,0.75,0.16603946685791016,False,,,10,14.834832,1b330e3c903c406ea4e36c7484cf72c8,2021-06-08_20-03-05,1623178985,3.7725794315338135,167512,timo-ThinkPad-P1,192.168.0.13,3.7725794315338135,0,10,942ba_00195
